log,event_index,offline_ns,online_ns
Period20_procedure_steps_all_additional_event_types.json,1,46910666,61458
Period20_procedure_steps_all_additional_event_types.json,2,,7959
Period20_procedure_steps_all_additional_event_types.json,3,,3458
Period20_procedure_steps_all_additional_event_types.json,4,,36875
Period20_procedure_steps_all_additional_event_types.json,5,,8917
Period20_procedure_steps_all_additional_event_types.json,6,,3792
Period20_procedure_steps_all_additional_event_types.json,7,,4167
Period20_procedure_steps_all_additional_event_types.json,8,,5291
Period20_procedure_steps_all_additional_event_types.json,9,,8167
Period20_procedure_steps_all_additional_event_types.json,10,,4084
Period20_procedure_steps_all_additional_event_types.json,11,,12792
Period20_procedure_steps_all_additional_event_types.json,12,,4750
Period20_procedure_steps_all_additional_event_types.json,13,,10292
Period20_procedure_steps_all_additional_event_types.json,14,,9584
Period20_procedure_steps_all_additional_event_types.json,15,,5250
Period20_procedure_steps_all_additional_event_types.json,16,,9167
Period20_procedure_steps_all_additional_event_types.json,17,,9958
Period20_procedure_steps_all_additional_event_types.json,18,,12875
Period20_procedure_steps_all_additional_event_types.json,19,,7417
Period20_procedure_steps_all_additional_event_types.json,20,,10375
Period20_procedure_steps_all_additional_event_types.json,21,,11334
Period20_procedure_steps_all_additional_event_types.json,22,,8875
Period20_procedure_steps_all_additional_event_types.json,23,,8292
Period20_procedure_steps_all_additional_event_types.json,24,,8500
Period20_procedure_steps_all_additional_event_types.json,25,,8250
Period20_procedure_steps_all_additional_event_types.json,26,,7417
Period20_procedure_steps_all_additional_event_types.json,27,,9375
Period20_procedure_steps_all_additional_event_types.json,28,,8375
Period20_procedure_steps_all_additional_event_types.json,29,,8750
Period20_procedure_steps_all_additional_event_types.json,30,,11875
Period20_procedure_steps_all_additional_event_types.json,31,,7792
Period20_procedure_steps_all_additional_event_types.json,32,,9042
Period20_procedure_steps_all_additional_event_types.json,33,,11458
Period20_procedure_steps_all_additional_event_types.json,34,,9083
Period20_procedure_steps_all_additional_event_types.json,35,,8166
Period20_procedure_steps_all_additional_event_types.json,36,,8959
Period20_procedure_steps_all_additional_event_types.json,37,,8041
Period20_procedure_steps_all_additional_event_types.json,38,,9667
Period20_procedure_steps_all_additional_event_types.json,39,,8500
Period20_procedure_steps_all_additional_event_types.json,40,,9125
Period20_procedure_steps_all_additional_event_types.json,41,,9292
Period20_procedure_steps_all_additional_event_types.json,42,,8250
Period20_procedure_steps_all_additional_event_types.json,43,,7708
Period20_procedure_steps_all_additional_event_types.json,44,,8458
Period20_procedure_steps_all_additional_event_types.json,45,,8000
Period20_procedure_steps_all_additional_event_types.json,46,,7958
Period20_procedure_steps_all_additional_event_types.json,47,,7625
Period20_procedure_steps_all_additional_event_types.json,48,,7542
Period20_procedure_steps_all_additional_event_types.json,49,,9000
Period20_procedure_steps_all_additional_event_types.json,50,,8375
Period20_procedure_steps_all_additional_event_types.json,51,17831209,61542
Period20_procedure_steps_all_additional_event_types.json,52,,14000
Period20_procedure_steps_all_additional_event_types.json,53,,12375
Period20_procedure_steps_all_additional_event_types.json,54,,15708
Period20_procedure_steps_all_additional_event_types.json,55,,13792
Period20_procedure_steps_all_additional_event_types.json,56,,11542
Period20_procedure_steps_all_additional_event_types.json,57,,11416
Period20_procedure_steps_all_additional_event_types.json,58,,11500
Period20_procedure_steps_all_additional_event_types.json,59,,11417
Period20_procedure_steps_all_additional_event_types.json,60,,12500
Period20_procedure_steps_all_additional_event_types.json,61,,11666
Period20_procedure_steps_all_additional_event_types.json,62,,13375
Period20_procedure_steps_all_additional_event_types.json,63,,14250
Period20_procedure_steps_all_additional_event_types.json,64,,12583
Period20_procedure_steps_all_additional_event_types.json,65,,14208
Period20_procedure_steps_all_additional_event_types.json,66,,13916
Period20_procedure_steps_all_additional_event_types.json,67,,15584
Period20_procedure_steps_all_additional_event_types.json,68,,13500
Period20_procedure_steps_all_additional_event_types.json,69,,13500
Period20_procedure_steps_all_additional_event_types.json,70,,12667
Period20_procedure_steps_all_additional_event_types.json,71,,15208
Period20_procedure_steps_all_additional_event_types.json,72,,11833
Period20_procedure_steps_all_additional_event_types.json,73,,14125
Period20_procedure_steps_all_additional_event_types.json,74,,14042
Period20_procedure_steps_all_additional_event_types.json,75,,13417
Period20_procedure_steps_all_additional_event_types.json,76,,17667
Period20_procedure_steps_all_additional_event_types.json,77,,17958
Period20_procedure_steps_all_additional_event_types.json,78,,13625
Period20_procedure_steps_all_additional_event_types.json,79,,13500
Period20_procedure_steps_all_additional_event_types.json,80,,12417
Period20_procedure_steps_all_additional_event_types.json,81,,21000
Period20_procedure_steps_all_additional_event_types.json,82,,12958
Period20_procedure_steps_all_additional_event_types.json,83,,11834
Period20_procedure_steps_all_additional_event_types.json,84,,11583
Period20_procedure_steps_all_additional_event_types.json,85,,11541
Period20_procedure_steps_all_additional_event_types.json,86,,12292
Period20_procedure_steps_all_additional_event_types.json,87,,12541
Period20_procedure_steps_all_additional_event_types.json,88,,12875
Period20_procedure_steps_all_additional_event_types.json,89,,13083
Period20_procedure_steps_all_additional_event_types.json,90,,12292
Period20_procedure_steps_all_additional_event_types.json,91,,11750
Period20_procedure_steps_all_additional_event_types.json,92,,13250
Period20_procedure_steps_all_additional_event_types.json,93,,13292
Period20_procedure_steps_all_additional_event_types.json,94,,11750
Period20_procedure_steps_all_additional_event_types.json,95,,12333
Period20_procedure_steps_all_additional_event_types.json,96,,12666
Period20_procedure_steps_all_additional_event_types.json,97,,12667
Period20_procedure_steps_all_additional_event_types.json,98,,12541
Period20_procedure_steps_all_additional_event_types.json,99,,12083
Period20_procedure_steps_all_additional_event_types.json,100,,12625
Period20_procedure_steps_all_additional_event_types.json,101,19105792,71000
Period20_procedure_steps_all_additional_event_types.json,102,,16584
Period20_procedure_steps_all_additional_event_types.json,103,,15334
Period20_procedure_steps_all_additional_event_types.json,104,,15125
Period20_procedure_steps_all_additional_event_types.json,105,,13333
Period20_procedure_steps_all_additional_event_types.json,106,,12750
Period20_procedure_steps_all_additional_event_types.json,107,,16167
Period20_procedure_steps_all_additional_event_types.json,108,,16375
Period20_procedure_steps_all_additional_event_types.json,109,,12416
Period20_procedure_steps_all_additional_event_types.json,110,,12958
Period20_procedure_steps_all_additional_event_types.json,111,,13542
Period20_procedure_steps_all_additional_event_types.json,112,,13417
Period20_procedure_steps_all_additional_event_types.json,113,,14917
Period20_procedure_steps_all_additional_event_types.json,114,,13083
Period20_procedure_steps_all_additional_event_types.json,115,,14083
Period20_procedure_steps_all_additional_event_types.json,116,,15375
Period20_procedure_steps_all_additional_event_types.json,117,,20000
Period20_procedure_steps_all_additional_event_types.json,118,,13292
Period20_procedure_steps_all_additional_event_types.json,119,,13125
Period20_procedure_steps_all_additional_event_types.json,120,,13458
Period20_procedure_steps_all_additional_event_types.json,121,,13000
Period20_procedure_steps_all_additional_event_types.json,122,,13000
Period20_procedure_steps_all_additional_event_types.json,123,,12500
Period20_procedure_steps_all_additional_event_types.json,124,,12375
Period20_procedure_steps_all_additional_event_types.json,125,,12459
Period20_procedure_steps_all_additional_event_types.json,126,,18333
Period20_procedure_steps_all_additional_event_types.json,127,,12625
Period20_procedure_steps_all_additional_event_types.json,128,,15417
Period20_procedure_steps_all_additional_event_types.json,129,,11958
Period20_procedure_steps_all_additional_event_types.json,130,,13041
Period20_procedure_steps_all_additional_event_types.json,131,,12333
Period20_procedure_steps_all_additional_event_types.json,132,,12042
Period20_procedure_steps_all_additional_event_types.json,133,,12375
Period20_procedure_steps_all_additional_event_types.json,134,,12708
Period20_procedure_steps_all_additional_event_types.json,135,,11917
Period20_procedure_steps_all_additional_event_types.json,136,,13417
Period20_procedure_steps_all_additional_event_types.json,137,,13458
Period20_procedure_steps_all_additional_event_types.json,138,,12833
Period20_procedure_steps_all_additional_event_types.json,139,,24959
Period20_procedure_steps_all_additional_event_types.json,140,,12625
Period20_procedure_steps_all_additional_event_types.json,141,,13167
Period20_procedure_steps_all_additional_event_types.json,142,,12958
Period20_procedure_steps_all_additional_event_types.json,143,,13083
Period20_procedure_steps_all_additional_event_types.json,144,,12208
Period20_procedure_steps_all_additional_event_types.json,145,,13083
Period20_procedure_steps_all_additional_event_types.json,146,,14208
Period20_procedure_steps_all_additional_event_types.json,147,,12917
Period20_procedure_steps_all_additional_event_types.json,148,,13084
Period20_procedure_steps_all_additional_event_types.json,149,,13334
Period20_procedure_steps_all_additional_event_types.json,150,,13084
Period20_procedure_steps_all_additional_event_types.json,151,17664834,68958
Period20_procedure_steps_all_additional_event_types.json,152,,21334
Period20_procedure_steps_all_additional_event_types.json,153,,16791
Period20_procedure_steps_all_additional_event_types.json,154,,16000
Period20_procedure_steps_all_additional_event_types.json,155,,17375
Period20_procedure_steps_all_additional_event_types.json,156,,14167
Period20_procedure_steps_all_additional_event_types.json,157,,14958
Period20_procedure_steps_all_additional_event_types.json,158,,13667
Period20_procedure_steps_all_additional_event_types.json,159,,17166
Period20_procedure_steps_all_additional_event_types.json,160,,16167
Period20_procedure_steps_all_additional_event_types.json,161,,16916
Period20_procedure_steps_all_additional_event_types.json,162,,14375
Period20_procedure_steps_all_additional_event_types.json,163,,13625
Period20_procedure_steps_all_additional_event_types.json,164,,14875
Period20_procedure_steps_all_additional_event_types.json,165,,14333
Period20_procedure_steps_all_additional_event_types.json,166,,14958
Period20_procedure_steps_all_additional_event_types.json,167,,14750
Period20_procedure_steps_all_additional_event_types.json,168,,15833
Period20_procedure_steps_all_additional_event_types.json,169,,17334
Period20_procedure_steps_all_additional_event_types.json,170,,16625
Period20_procedure_steps_all_additional_event_types.json,171,,16000
Period20_procedure_steps_all_additional_event_types.json,172,,15041
Period20_procedure_steps_all_additional_event_types.json,173,,18250
Period20_procedure_steps_all_additional_event_types.json,174,,17667
Period20_procedure_steps_all_additional_event_types.json,175,,16000
Period20_procedure_steps_all_additional_event_types.json,176,,16250
Period20_procedure_steps_all_additional_event_types.json,177,,15875
Period20_procedure_steps_all_additional_event_types.json,178,,16916
Period20_procedure_steps_all_additional_event_types.json,179,,18333
Period20_procedure_steps_all_additional_event_types.json,180,,15709
Period20_procedure_steps_all_additional_event_types.json,181,,15667
Period20_procedure_steps_all_additional_event_types.json,182,,15334
Period20_procedure_steps_all_additional_event_types.json,183,,16000
Period20_procedure_steps_all_additional_event_types.json,184,,18208
Period20_procedure_steps_all_additional_event_types.json,185,,17584
Period20_procedure_steps_all_additional_event_types.json,186,,17583
Period20_procedure_steps_all_additional_event_types.json,187,,17750
Period20_procedure_steps_all_additional_event_types.json,188,,20833
Period20_procedure_steps_all_additional_event_types.json,189,,17291
Period20_procedure_steps_all_additional_event_types.json,190,,17000
Period20_procedure_steps_all_additional_event_types.json,191,,15500
