log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
hiring_log_high.json,63869,0,0,0.0000,1949152,240,48,1,0.4940,0.6528,0.5624,29
hiring_log_high.json,63869,64,0,0.0000,1982960,24192,48,57,0.5714,0.6562,0.6109,121
hiring_log_high.json,63869,64,3,0.0469,1997392,36608,48,58,0.5714,0.6562,0.6109,115
hiring_log_high.json,63869,64,6,0.0938,1991728,36416,48,58,0.5714,0.6562,0.6109,113
hiring_log_high.json,63869,64,13,0.2031,1990368,33216,48,58,0.5714,0.6562,0.6109,101
hiring_log_high.json,63869,64,32,0.5000,1986000,27008,48,58,0.5714,0.6562,0.6109,78
hiring_log_high.json,63869,64,51,0.7969,1995280,36992,48,58,0.5714,0.6562,0.6109,50
hiring_log_high.json,63869,64,64,1.0000,1991632,33984,48,58,0.5714,0.6562,0.6109,32
hiring_log_high.json,63869,319,0,0.0000,2064112,81280,48,264,0.5714,0.6562,0.6109,460
hiring_log_high.json,63869,319,16,0.0502,2075664,82048,48,264,0.5714,0.6562,0.6109,436
hiring_log_high.json,63869,319,32,0.1003,2080832,89152,48,264,0.5714,0.6562,0.6109,413
hiring_log_high.json,63869,319,64,0.2006,2065264,85568,48,264,0.5714,0.6562,0.6109,369
hiring_log_high.json,63869,319,160,0.5016,2057088,78208,48,264,0.5714,0.6562,0.6109,241
hiring_log_high.json,63869,319,255,0.7994,2067872,89088,48,265,0.5714,0.6562,0.6109,121
hiring_log_high.json,63869,319,319,1.0000,2064160,86080,48,266,0.5714,0.6562,0.6109,34
hiring_log_high.json,63869,639,0,0.0000,2244088,204864,48,502,0.5714,0.6562,0.6109,767
hiring_log_high.json,63869,639,32,0.0501,2243864,211904,48,502,0.5714,0.6562,0.6109,735
hiring_log_high.json,63869,639,64,0.1002,2235864,206272,48,502,0.5714,0.6562,0.6109,697
hiring_log_high.json,63869,639,128,0.2003,2235080,203712,48,502,0.5714,0.6562,0.6109,621
hiring_log_high.json,63869,639,320,0.5008,2231760,204864,48,502,0.5714,0.6562,0.6109,450
hiring_log_high.json,63869,639,511,0.7997,2236416,212928,48,502,0.5714,0.6562,0.6109,201
hiring_log_high.json,63869,639,639,1.0000,2211472,209472,48,504,0.5714,0.6562,0.6109,35
hiring_log_high.json,63869,3193,0,0.0000,2973136,773064,48,1863,0.6429,0.6944,0.6677,3558
hiring_log_high.json,63869,3193,160,0.0501,2956176,761096,48,1863,0.6429,0.6944,0.6677,3371
