log,total_events,max_inactive,min_inactive,ratio,total_mem_bytes,div_mem_bytes,seen_mem_bytes,active_objs,fitness,precision,f1_score,duration_ms
age_of_empires_ocel2.json,2372505,0,0,0.0000,82432504,944,48,0,0.4158,0.1721,0.2434,7641
age_of_empires_ocel2.json,2372505,2373,0,0.0000,86539664,440648,48,395,0.9717,1.0000,0.9856,7111
age_of_empires_ocel2.json,2372505,2373,119,0.0501,86640752,483400,48,397,0.9717,1.0000,0.9856,6974
age_of_empires_ocel2.json,2372505,2373,237,0.0999,86541872,435400,48,406,0.9717,1.0000,0.9856,7098
age_of_empires_ocel2.json,2372505,2373,475,0.2002,86584944,462600,48,417,0.9717,1.0000,0.9856,7056
age_of_empires_ocel2.json,2372505,2373,1187,0.5002,86505040,421256,48,436,0.9717,1.0000,0.9856,6968
age_of_empires_ocel2.json,2372505,2373,1898,0.7998,86576160,414536,48,451,0.9717,1.0000,0.9856,6978
age_of_empires_ocel2.json,2372505,2373,2373,1.0000,86584128,403208,48,470,0.9717,1.0000,0.9856,6640
age_of_empires_ocel2.json,2372505,11863,0,0.0000,87918708,1660336,48,1397,0.9899,1.0000,0.9949,7055
age_of_empires_ocel2.json,2372505,11863,593,0.0500,88005908,1774960,48,1448,0.9899,1.0000,0.9949,7122
age_of_empires_ocel2.json,2372505,11863,1186,0.1000,87826676,1629616,48,1487,0.9899,1.0000,0.9949,7100
age_of_empires_ocel2.json,2372505,11863,2373,0.2000,88129252,1796656,48,1534,0.9899,1.0000,0.9949,7137
age_of_empires_ocel2.json,2372505,11863,5932,0.5000,88029684,1813872,48,1748,0.9899,1.0000,0.9949,7173
age_of_empires_ocel2.json,2372505,11863,9490,0.8000,87973988,1692272,48,1825,0.9899,1.0000,0.9949,7175
age_of_empires_ocel2.json,2372505,11863,11863,1.0000,88101876,1703664,48,1964,0.9899,1.0000,0.9949,6796
age_of_empires_ocel2.json,2372505,23725,0,0.0000,90420316,4128408,48,2863,0.9936,1.0000,0.9968,7299
age_of_empires_ocel2.json,2372505,23725,1186,0.0500,90484540,4137368,48,2955,0.9936,1.0000,0.9968,7217
age_of_empires_ocel2.json,2372505,23725,2373,0.1000,90388924,4129048,48,3005,0.9936,1.0000,0.9968,7245
age_of_empires_ocel2.json,2372505,23725,4745,0.2000,90469276,4117016,48,3138,0.9936,1.0000,0.9968,7426
age_of_empires_ocel2.json,2372505,23725,11863,0.5000,90361484,3963672,48,3458,0.9936,1.0000,0.9968,7304
age_of_empires_ocel2.json,2372505,23725,18980,0.8000,90714204,4042904,48,3798,0.9936,1.0000,0.9968,7371
age_of_empires_ocel2.json,2372505,23725,23725,1.0000,90553292,4041304,48,4120,0.9936,1.0000,0.9968,7218
age_of_empires_ocel2.json,2372505,118625,0,0.0000,102177204,14961400,48,13922,0.9963,1.0000,0.9981,7466
age_of_empires_ocel2.json,2372505,118625,5931,0.0500,102792180,14982008,48,14284,0.9963,1.0000,0.9981,7485
age_of_empires_ocel2.json,2372505,118625,11863,0.1000,102601796,14989816,48,14529,0.9963,1.0000,0.9981,7502
age_of_empires_ocel2.json,2372505,118625,23725,0.2000,104171012,15135608,48,15214,0.9963,1.0000,0.9981,7694
age_of_empires_ocel2.json,2372505,118625,59313,0.5000,103201524,14508280,48,17033,0.9963,1.0000,0.9981,7666
age_of_empires_ocel2.json,2372505,118625,94900,0.8000,103108100,14676664,48,18809,0.9963,1.0000,0.9981,7708
age_of_empires_ocel2.json,2372505,118625,118625,1.0000,103028196,14779768,48,19961,0.9963,1.0000,0.9981,7296
age_of_empires_ocel2.json,2372505,237251,0,0.0000,120447476,31500152,48,25922,0.9965,1.0000,0.9983,7649
age_of_empires_ocel2.json,2372505,237251,11863,0.0500,120374388,31561336,48,26534,0.9965,1.0000,0.9983,7608
age_of_empires_ocel2.json,2372505,237251,23725,0.1000,120246612,31586936,48,27232,0.9965,1.0000,0.9983,7645
age_of_empires_ocel2.json,2372505,237251,47450,0.2000,121292100,31562296,48,28460,0.9965,1.0000,0.9983,7726
age_of_empires_ocel2.json,2372505,237251,118626,0.5000,123723156,31507064,48,32138,0.9965,1.0000,0.9983,7669
age_of_empires_ocel2.json,2372505,237251,189801,0.8000,123601620,31565240,48,35524,0.9965,1.0000,0.9983,7610
age_of_empires_ocel2.json,2372505,237251,237251,1.0000,123504884,31603960,48,38083,0.9965,1.0000,0.9983,7293
age_of_empires_ocel2.json,2372505,474501,0,0.0000,159333944,68719888,48,51330,0.9991,1.0000,0.9996,7630
age_of_empires_ocel2.json,2372505,474501,23725,0.0500,159371384,68803664,48,52682,0.9991,1.0000,0.9996,7640
age_of_empires_ocel2.json,2372505,474501,47450,0.1000,159470936,68913296,48,53912,0.9991,1.0000,0.9996,7638
age_of_empires_ocel2.json,2372505,474501,94900,0.2000,159326568,68758672,48,56384,0.9991,1.0000,0.9996,7650
age_of_empires_ocel2.json,2372505,474501,237251,0.5000,167829976,68831312,48,63615,0.9991,1.0000,0.9996,7680
age_of_empires_ocel2.json,2372505,474501,379601,0.8000,167887592,68787984,48,71548,0.9991,1.0000,0.9996,7701
age_of_empires_ocel2.json,2372505,474501,474501,1.0000,167921096,68788816,48,76215,0.9991,1.0000,0.9996,7370
age_of_empires_ocel2.json,2372505,1186253,0,0.0000,252466168,155605616,48,127707,0.9998,1.0000,0.9999,7523
age_of_empires_ocel2.json,2372505,1186253,59313,0.0500,252019480,155110384,48,130892,0.9998,1.0000,0.9999,7493
age_of_empires_ocel2.json,2372505,1186253,118625,0.1000,252065816,155055344,48,133894,0.9998,1.0000,0.9999,7518
age_of_empires_ocel2.json,2372505,1186253,237251,0.2000,252216344,154980848,48,139925,0.9998,1.0000,0.9999,7499
age_of_empires_ocel2.json,2372505,1186253,593127,0.5000,268099224,155159856,48,158288,0.9998,1.0000,0.9999,7556
age_of_empires_ocel2.json,2372505,1186253,949002,0.8000,268531192,155132848,48,175506,0.9998,1.0000,0.9999,7515
age_of_empires_ocel2.json,2372505,1186253,1186253,1.0000,269227336,155402864,48,186971,0.9998,1.0000,0.9999,7324
age_of_empires_ocel2.json,2372505,2372505,2372505,1.0000,371643352,252032816,48,361935,1.0000,1.0000,1.0000,7169
logistics.json,35413,0,0,0.0000,2195471,240,48,0,0.4452,0.3443,0.3883,33
logistics.json,35413,35,0,0.0000,2203375,1840,48,0,1.0000,1.0000,1.0000,38
logistics.json,35413,35,2,0.0571,2203087,1840,48,0,1.0000,1.0000,1.0000,35
logistics.json,35413,35,4,0.1143,2203503,1200,48,0,1.0000,1.0000,1.0000,35
logistics.json,35413,35,7,0.2000,2196959,944,48,0,1.0000,1.0000,1.0000,35
logistics.json,35413,35,18,0.5143,2194975,1008,48,0,1.0000,1.0000,1.0000,35
logistics.json,35413,35,28,0.8000,2202783,1136,48,0,1.0000,1.0000,1.0000,35
logistics.json,35413,35,35,1.0000,2200783,1136,48,0,1.0000,1.0000,1.0000,32
logistics.json,35413,177,0,0.0000,2258831,53408,48,39,1.0000,1.0000,1.0000,37
logistics.json,35413,177,9,0.0508,2270671,62048,48,41,1.0000,1.0000,1.0000,37
logistics.json,35413,177,18,0.1017,2264271,60832,48,41,1.0000,1.0000,1.0000,36
logistics.json,35413,177,35,0.1977,2253215,53152,48,41,1.0000,1.0000,1.0000,36
logistics.json,35413,177,89,0.5028,2245839,42528,48,61,1.0000,1.0000,1.0000,37
logistics.json,35413,177,142,0.8023,2263135,62368,48,70,1.0000,1.0000,1.0000,37
logistics.json,35413,177,177,1.0000,2253775,52576,48,79,1.0000,1.0000,1.0000,36
logistics.json,35413,354,0,0.0000,2304943,94528,48,66,1.0000,1.0000,1.0000,38
logistics.json,35413,354,18,0.0508,2292047,92032,48,66,1.0000,1.0000,1.0000,38
logistics.json,35413,354,35,0.0989,2308975,98816,48,68,1.0000,1.0000,1.0000,37
logistics.json,35413,354,71,0.2006,2291999,89088,48,76,1.0000,1.0000,1.0000,37
logistics.json,35413,354,177,0.5000,2304319,100096,48,111,1.0000,1.0000,1.0000,37
logistics.json,35413,354,283,0.7994,2320623,105344,48,143,1.0000,1.0000,1.0000,37
logistics.json,35413,354,354,1.0000,2339535,106368,48,170,1.0000,1.0000,1.0000,34
logistics.json,35413,1771,0,0.0000,2747567,519488,48,209,1.0000,1.0000,1.0000,36
